A,:85
B,:459
C,:321
D,:2005
E,:633
F,:291
J,:66
L,:128
K,:128
M,:128
N,:11
I,:4
A,C,M,N,:3
A,D,E,F,:4
A,D,E,J,:4
A,D,E,L,:4
A,D,E,K,:4
A,D,E,M,:4
A,D,E,N,:3
A,D,F,J,:4
A,D,F,L,:4
A,D,F,K,:4
A,D,F,M,:4
A,D,F,N,:3
A,D,J,L,:4
A,D,J,K,:4
A,D,J,M,:4
A,D,J,N,:3
A,D,L,M,:4
A,D,L,N,:3
A,D,K,L,:4
A,D,K,M,:4
A,D,K,N,:3
A,D,M,N,:3
A,E,F,J,:4
A,E,F,L,:4
A,E,F,K,:4
A,E,F,M,:4
A,E,F,N,:3
A,E,J,L,:4
A,E,J,K,:4
A,E,J,M,:4
A,E,J,N,:3
A,E,L,M,:4
A,E,L,N,:3
A,E,K,L,:4
A,E,K,M,:4
A,E,K,N,:3
A,E,M,N,:3
A,F,J,L,:4
A,F,J,K,:4
A,F,J,M,:4
A,F,J,N,:3
A,F,L,M,:4
A,F,L,N,:3
A,F,K,L,:4
A,F,K,M,:4
A,F,K,N,:3
A,F,M,N,:3
A,J,L,M,:4
A,J,L,N,:3
A,J,K,L,:4
A,J,K,M,:4
A,J,K,N,:3
A,J,M,N,:3
A,L,M,N,:3
A,K,L,M,:4
A,K,L,N,:3
A,K,M,N,:3
B,C,D,E,:4
B,C,D,F,:4
B,C,D,J,:4
B,C,D,L,:4
B,C,D,K,:4
B,C,D,M,:4
B,C,D,N,:3
B,C,E,F,:4
B,C,E,J,:4
B,C,E,L,:4
B,C,E,K,:4
B,C,E,M,:4
B,C,E,N,:3
B,C,F,J,:4
B,C,F,L,:4
B,C,F,K,:4
B,C,F,M,:4
B,C,F,N,:3
B,C,J,L,:4
B,C,J,K,:4
B,C,J,M,:4
B,C,J,N,:3
B,C,L,M,:4
B,C,L,N,:3
B,C,K,L,:4
B,C,K,M,:4
B,C,K,N,:3
B,C,M,N,:3
B,D,E,F,:4
B,D,E,J,:4
B,D,E,L,:4
B,D,E,K,:4
B,D,E,M,:4
B,D,E,N,:3
B,D,F,J,:4
B,D,F,L,:4
B,D,F,K,:4
B,D,F,M,:4
B,D,F,N,:3
B,D,J,L,:4
B,D,J,K,:4
B,D,J,M,:4
B,D,J,N,:3
B,D,L,M,:4
B,D,L,N,:3
B,D,K,L,:4
B,D,K,M,:4
B,D,K,N,:3
B,D,M,N,:3
B,E,F,J,:4
B,E,F,L,:4
B,E,F,K,:4
B,E,F,M,:4
B,E,F,N,:3
B,E,J,L,:4
B,E,J,K,:4
B,E,J,M,:4
B,E,J,N,:3
B,E,L,M,:4
B,E,L,N,:3
B,E,K,L,:4
B,E,K,M,:4
B,E,K,N,:3
B,E,M,N,:3
B,F,J,L,:4
B,F,J,K,:4
B,F,J,M,:4
B,F,J,N,:3
B,F,L,M,:4
B,F,L,N,:3
B,F,K,L,:4
B,F,K,M,:4
B,F,K,N,:3
B,F,M,N,:3
B,J,L,M,:4
B,J,L,N,:3
B,J,K,L,:4
B,J,K,M,:4
B,J,K,N,:3
B,J,M,N,:3
B,L,M,N,:3
B,K,L,M,:4
B,K,L,N,:3
B,K,M,N,:3
C,D,E,F,:4
C,D,E,J,:4
C,D,E,L,:4
C,D,E,K,:4
C,D,E,M,:4
C,D,E,N,:3
C,D,F,J,:4
C,D,F,L,:4
C,D,F,K,:4
C,D,F,M,:4
C,D,F,N,:3
C,D,J,L,:4
C,D,J,K,:4
C,D,J,M,:4
C,D,J,N,:3
C,D,L,M,:4
C,D,L,N,:3
C,D,K,L,:4
C,D,K,M,:4
C,D,K,N,:3
C,D,M,N,:3
C,E,F,J,:4
C,E,F,L,:4
C,E,F,K,:4
C,E,F,M,:4
C,E,F,N,:3
C,E,J,L,:4
C,E,J,K,:4
C,E,J,M,:4
C,E,J,N,:3
C,E,L,M,:4
C,E,L,N,:3
C,E,K,L,:4
C,E,K,M,:4
C,E,K,N,:3
C,E,M,N,:3
C,F,J,L,:4
C,F,J,K,:4
C,F,J,M,:4
C,F,J,N,:3
C,F,L,M,:4
C,F,L,N,:3
C,F,K,L,:4
C,F,K,M,:4
C,F,K,N,:3
C,F,M,N,:3
C,J,L,M,:4
C,J,L,N,:3
C,J,K,L,:4
C,J,K,M,:4
C,J,K,N,:3
C,J,M,N,:3
C,L,M,N,:3
C,K,L,M,:4
C,K,L,N,:3
C,K,M,N,:3
D,E,F,J,:4
D,E,F,L,:4
D,E,F,K,:4
D,E,F,M,:4
D,E,F,N,:3
D,E,J,L,:4
D,E,J,K,:4
D,E,J,M,:4
D,E,J,N,:3
D,E,L,M,:4
D,E,L,N,:3
D,E,K,L,:4
D,E,K,M,:4
D,E,K,N,:3
D,E,M,N,:3
D,F,J,L,:4
D,F,J,K,:4
D,F,J,M,:4
D,F,J,N,:3
D,F,L,M,:4
D,F,L,N,:3
D,F,K,L,:4
D,F,K,M,:4
D,F,K,N,:3
D,F,M,N,:3
D,J,L,M,:4
D,J,L,N,:3
D,J,K,L,:4
D,J,K,M,:4
D,J,K,N,:3
D,J,M,N,:3
D,L,M,N,:3
D,K,L,M,:4
D,K,L,N,:3
D,K,M,N,:3
E,F,J,L,:4
E,F,J,K,:4
E,F,J,M,:4
E,F,J,N,:3
E,F,L,M,:4
E,F,L,N,:3
E,F,K,L,:4
E,F,K,M,:4
E,F,K,N,:3
E,F,M,N,:3
E,J,L,M,:4
E,J,L,N,:3
E,J,K,L,:4
E,J,K,M,:4
E,J,K,N,:3
E,J,M,N,:3
E,L,M,N,:3
E,K,L,M,:4
E,K,L,N,:3
E,K,M,N,:3
F,J,L,M,:4
F,J,L,N,:3
F,J,K,L,:4
F,J,K,M,:4
F,J,K,N,:3
F,J,M,N,:3
F,L,M,N,:3
F,K,L,M,:4
F,K,L,N,:3
F,K,M,N,:3
J,L,M,N,:3
J,K,L,M,:4
J,K,L,N,:3
J,K,M,N,:3
K,L,M,N,:3
A,B,C,I,:2
A,B,D,I,:2
A,B,E,I,:2
A,B,F,I,:2
A,C,D,I,:2
A,C,E,I,:2
A,C,F,I,:2
A,D,E,I,:2
A,D,F,I,:2
A,E,F,I,:2
B,C,D,I,:2
B,C,E,I,:2
B,C,F,I,:2
B,D,E,I,:2
B,D,F,I,:2
B,E,F,I,:2
C,D,E,I,:2
C,D,F,I,:2
C,E,F,I,:2
D,E,F,I,:2
A,B,I,J,:2
A,B,I,L,:2
A,B,I,K,:2
A,B,I,M,:2
A,B,I,N,:2
A,C,I,J,:2
A,C,I,L,:2
A,C,I,K,:2
A,C,I,M,:2
A,C,I,N,:2
A,D,I,J,:2
A,D,I,L,:2
A,D,I,K,:2
A,D,I,M,:2
A,D,I,N,:2
A,E,I,J,:2
A,E,I,L,:2
A,E,I,K,:2
A,E,I,M,:2
A,E,I,N,:2
A,F,I,J,:2
A,F,I,L,:2
A,F,I,K,:2
A,F,I,M,:2
A,F,I,N,:2
B,C,I,J,:2
B,C,I,L,:2
B,C,I,K,:2
B,C,I,M,:2
B,C,I,N,:2
B,D,I,J,:2
B,D,I,L,:2
B,D,I,K,:2
B,D,I,M,:2
B,D,I,N,:2
B,E,I,J,:2
B,E,I,L,:2
B,E,I,K,:2
B,E,I,M,:2
B,E,I,N,:2
B,F,I,J,:2
B,F,I,L,:2
B,F,I,K,:2
B,F,I,M,:2
B,F,I,N,:2
C,D,I,J,:2
C,D,I,L,:2
C,D,I,K,:2
C,D,I,M,:2
C,D,I,N,:2
C,E,I,J,:2
C,E,I,L,:2
C,E,I,K,:2
C,E,I,M,:2
C,E,I,N,:2
C,F,I,J,:2
C,F,I,L,:2
C,F,I,K,:2
C,F,I,M,:2
C,F,I,N,:2
D,E,I,J,:2
D,E,I,L,:2
D,E,I,K,:2
D,E,I,M,:2
D,E,I,N,:2
D,F,I,J,:2
D,F,I,L,:2
D,F,I,K,:2
D,F,I,M,:2
D,F,I,N,:2
E,F,I,J,:2
E,F,I,L,:2
E,F,I,K,:2
E,F,I,M,:2
E,F,I,N,:2
A,I,J,L,:2
A,I,J,K,:2
A,I,J,M,:2
A,I,J,N,:2
A,I,L,M,:2
A,I,L,N,:2
A,I,K,L,:2
A,I,K,M,:2
