['16:21:15.824', '2021-08-24', 'Dev_Reset', '', '', '', '', '', '', '', '', '1\n', '', '', '', '', '', '', '', '', '', '', '']
['16:21:15.946', '2021-08-24', 'Dev_ModPower', '', '', '', '', '', '1', 'OnOff=1\n', '', '', '', '', '', '', '', '', '', '', '', '', '']
['16:21:17.163', '2021-08-24', 'Mod_GetIdVer', '', '', '', '', '', '0', 'Id=23524597', 'Fuse=0x0', 'V0=27.400', '', 'I0=0.300', '', '', 'V1=30.025', '', '接收超时', '0\n', '', '', '']
['16:21:17.450', '2021-08-24', 'Mod_GetIdVer', '', '', '', '', '', '0', 'Id=23524896', 'Fuse=0x0', 'V0=27.400', '', 'I0=0.300', '', '', 'V1=30.017', '', '接收超时', '0', 'Retry', '1\n', '']
['16:21:17.772', '2021-08-24', 'Mod_GetIdVer', '', '', '', '', '', '1', 'Id=20160553', 'Fuse=0x1', 'V0=27.150', '', 'I0=42.000', '', 'V1=30.034', '', 'Retry', '2\n', '', '', '', '']
['16:21:17.864', '2021-08-24', 'Mod_NextCtrlOn', '', '', '', '1', 'Id=20160553', 'V0=27.150', '', 'I0=42.000', '', 'V1=30.025', '\n', '', '', '', '', '', '', '', '', '']
['16:21:18.090', '2021-08-24', 'Mod_GetIdVer', '', '', '', '', '', '0', 'Id=23525528', 'Fuse=0x0', 'V0=27.400', '', 'I0=0.300', '', '', 'V1=30.025', '', '接收超时', '0\n', '', '', '']
['16:21:18.391', '2021-08-24', 'Mod_GetIdVer', '', '', '', '', '', '0', 'Id=23525826', 'Fuse=0x0', 'V0=27.300', '', 'I0=1.200', '', '', 'V1=30.017', '', '接收超时', '0', 'Retry', '1\n', '']
['16:21:18.714', '2021-08-24', 'Mod_GetIdVer', '', '', '', '', '', '1', 'Id=20160553', 'Fuse=0x1', 'V0=27.150', '', 'I0=42.300', '', 'V1=30.043', '', 'Retry', '2\n', '', '', '', '']
